event,confirm,exit,min_hold,filter,n_trades,n_weeks,t_stat,win_rate,cagr,maxdd,calmar,by_year
tm21_15,ma20_w5,trend_dn,10,mkt_ma20,0,0,0.0,0.0,3.25,-22.44,0.145,"{""2021"": 14.0, ""2022"": -5.3, ""2023"": 2.6, ""2024"": -0.1}"
tm21_15,ma20_w5,trend_dn,20,none,0,0,0.0,0.0,3.42,-26.76,0.128,"{""2021"": 17.5, ""2022"": -7.6, ""2023"": 4.6, ""2024"": -2.5}"
tm21_15,ma20_w5,trend_dn,20,mkt_ma60,0,0,0.0,0.0,3.57,-21.45,0.167,"{""2021"": 14.2, ""2022"": -5.0, ""2023"": 3.0, ""2024"": 0.2}"
tm21_15,ma20_w5,trend_dn,20,mkt_ma20,0,0,0.0,0.0,3.25,-22.44,0.145,"{""2021"": 14.0, ""2022"": -5.3, ""2023"": 2.6, ""2024"": -0.1}"
tm21_15,ma20_w5,v1_tp_or_td,0,none,1294,169,-2.18,44.1,1.35,-3.81,0.355,"{""2021"": 2.4, ""2022"": 0.6, ""2023"": 0.3, ""2024"": 1.8}"
tm21_15,ma20_w5,v1_tp_or_td,0,mkt_ma60,541,64,0.07,53.2,1.21,-2.68,0.453,"{""2021"": 1.7, ""2022"": -0.3, ""2023"": 0.2, ""2024"": 3.0}"
tm21_15,ma20_w5,v1_tp_or_td,0,mkt_ma20,600,80,-0.22,49.2,0.86,-2.72,0.314,"{""2021"": 1.2, ""2022"": -0.0, ""2023"": -0.2, ""2024"": 2.4}"
tm21_15,ma20_w5,v1_tp_or_td,10,none,1288,169,-1.21,48.6,1.8,-4.08,0.442,"{""2021"": 2.7, ""2022"": 1.0, ""2023"": 0.6, ""2024"": 2.7}"
tm21_15,ma20_w5,v1_tp_or_td,10,mkt_ma60,538,64,-0.11,55.0,1.24,-2.68,0.464,"{""2021"": 1.7, ""2022"": -0.1, ""2023"": 0.2, ""2024"": 2.9}"
tm21_15,ma20_w5,v1_tp_or_td,10,mkt_ma20,599,80,-0.13,51.4,0.91,-2.79,0.327,"{""2021"": 1.3, ""2022"": -0.2, ""2023"": -0.1, ""2024"": 2.5}"
tm21_15,ma20_w5,v1_tp_or_td,20,none,1269,166,-0.06,53.4,2.23,-5.05,0.442,"{""2021"": 3.8, ""2022"": 1.6, ""2023"": 0.4, ""2024"": 2.8}"
tm21_15,ma20_w5,v1_tp_or_td,20,mkt_ma60,534,62,-0.24,58.4,1.24,-3.04,0.408,"{""2021"": 2.1, ""2022"": -0.2, ""2023"": 0.1, ""2024"": 2.7}"
tm21_15,ma20_w5,v1_tp_or_td,20,mkt_ma20,597,79,-0.81,53.4,0.66,-3.26,0.202,"{""2021"": 1.6, ""2022"": -0.2, ""2023"": -0.5, ""2024"": 1.6}"
tm21_15,ma20_w5,water_slope,0,none,1119,164,-5.38,42.6,0.15,-7.62,0.019,"{""2021"": 4.6, ""2022"": -3.4, ""2023"": 1.4, ""2024"": -2.1}"
tm21_15,ma20_w5,water_slope,0,mkt_ma60,499,61,-1.24,49.3,0.92,-3.94,0.235,"{""2021"": 3.9, ""2022"": -1.2, ""2023"": -0.1, ""2024"": 0.8}"
tm21_15,ma20_w5,water_slope,0,mkt_ma20,556,78,-2.75,46.0,0.44,-5.39,0.081,"{""2021"": 3.2, ""2022"": -1.4, ""2023"": -0.1, ""2024"": 0.0}"
tm21_15,ma20_w5,water_slope,10,none,1105,164,-4.23,46.1,0.87,-7.48,0.116,"{""2021"": 6.2, ""2022"": -2.9, ""2023"": 1.3, ""2024"": -1.5}"
tm21_15,ma20_w5,water_slope,10,mkt_ma60,495,61,-1.03,53.1,1.23,-3.59,0.343,"{""2021"": 4.0, ""2022"": -1.3, ""2023"": 0.0, ""2024"": 1.9}"
tm21_15,ma20_w5,water_slope,10,mkt_ma20,551,78,-2.47,49.7,0.69,-5.25,0.132,"{""2021"": 3.2, ""2022"": -1.4, ""2023"": -0.1, ""2024"": 1.0}"
tm21_15,ma20_w5,water_slope,20,none,1076,162,-2.96,46.6,1.64,-6.62,0.248,"{""2021"": 6.8, ""2022"": -2.0, ""2023"": 2.1, ""2024"": -0.8}"
tm21_15,ma20_w5,water_slope,20,mkt_ma60,487,61,-1.03,50.9,1.48,-4.1,0.362,"{""2021"": 4.2, ""2022"": -1.4, ""2023"": 0.8, ""2024"": 2.0}"
