strategy,window,basket_regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
bull_delay_ma20,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,55.96,-36.08,1.55,4.92,41.5,4.05,-55.69,51.91
bull_delay_ma55,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,43.23,-41.29,1.05,-0.38,48.5,4.05,-55.69,39.18
adaptive_ma20_no_down,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,3.26,-36.08,0.09,4.92,41.5,4.05,-55.69,-0.79
adaptive_ma55_no_down,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,-5.17,-41.29,-0.13,-0.38,48.5,4.05,-55.69,-9.22
adaptive_shou_no_down,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,3.26,-36.08,0.09,4.92,41.5,4.05,-55.69,-0.79
bull_no_sell_until_ma20,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,50.08,-37.83,1.32,2.94,40.5,4.05,-55.69,46.03
base_combo,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,2,50.0,21.84,-28.3,0.77,16.62,36.5,99.38,-55.69,-77.54
no_new_entries_in_down,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,1,0.0,-20.37,-28.3,-0.72,-20.16,24.0,99.38,-55.69,-119.75
bull_delay_ma20,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,2,50.0,21.84,-28.3,0.77,16.62,36.5,99.38,-55.69,-77.54
bull_delay_ma55,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,2,50.0,21.84,-28.3,0.77,16.62,36.5,99.38,-55.69,-77.54
adaptive_ma20_no_down,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,1,0.0,-20.37,-28.3,-0.72,-20.16,24.0,99.38,-55.69,-119.75
adaptive_ma55_no_down,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,1,0.0,-20.37,-28.3,-0.72,-20.16,24.0,99.38,-55.69,-119.75
adaptive_shou_no_down,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,1,0.0,-20.37,-28.3,-0.72,-20.16,24.0,99.38,-55.69,-119.75
bull_no_sell_until_ma20,2024-09-04_2025-09-15,basket_neutral,300394,天孚通信,光模块,2,50.0,18.27,-28.96,0.63,15.08,35.5,99.38,-55.69,-81.11
base_combo,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,1,100.0,92.92,-17.06,5.45,53.4,49.0,148.35,-46.31,-55.43
no_new_entries_in_down,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,148.35,-46.31,-148.35
bull_delay_ma20,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,1,100.0,92.92,-17.06,5.45,53.4,49.0,148.35,-46.31,-55.43
bull_delay_ma55,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,1,100.0,92.92,-17.06,5.45,53.4,49.0,148.35,-46.31,-55.43
adaptive_ma20_no_down,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,148.35,-46.31,-148.35
adaptive_ma55_no_down,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,148.35,-46.31,-148.35
adaptive_shou_no_down,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,148.35,-46.31,-148.35
bull_no_sell_until_ma20,2024-12-06_2025-12-16,basket_neutral,300394,天孚通信,光模块,1,100.0,91.02,-17.06,5.34,51.89,48.0,148.35,-46.31,-57.33
base_combo,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
no_new_entries_in_down,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,565.12,-35.05,-565.12
bull_delay_ma20,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
bull_delay_ma55,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
adaptive_ma20_no_down,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,565.12,-35.05,-565.12
adaptive_ma55_no_down,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,565.12,-35.05,-565.12
adaptive_shou_no_down,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,565.12,-35.05,-565.12
bull_no_sell_until_ma20,2025-03-11_2026-03-20,basket_neutral,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,565.12,-35.05,-530.31
base_combo,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
no_new_entries_in_down,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,437.68,-35.05,-437.68
bull_delay_ma20,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
bull_delay_ma55,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
adaptive_ma20_no_down,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,437.68,-35.05,-437.68
adaptive_ma55_no_down,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,437.68,-35.05,-437.68
adaptive_shou_no_down,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,437.68,-35.05,-437.68
bull_no_sell_until_ma20,2025-06-10_2026-06-18,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,437.68,-35.05,-402.87
base_combo,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
no_new_entries_in_down,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,241.64,-35.05,-241.64
bull_delay_ma20,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
bull_delay_ma55,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
adaptive_ma20_no_down,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,241.64,-35.05,-241.64
adaptive_ma55_no_down,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,241.64,-35.05,-241.64
adaptive_shou_no_down,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,241.64,-35.05,-241.64
bull_no_sell_until_ma20,2025-06-24_2026-07-03,basket_bull,300394,天孚通信,光模块,1,100.0,34.81,-17.06,2.04,35.16,20.0,241.64,-35.05,-206.83
base_combo,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,41.67,-22.96,1.82,26.69,27.5,7.65,-40.85,34.02
