strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
obs_then_wait_rs20_segment_10d,存储芯片,67,57,106,56.6,38,27,5.64,-15.59,0.37,-4.8
obs_then_wait_cxhzb_15d,存储芯片,67,61,120,46.67,38,29,5.16,-16.06,0.37,-7.48
obs_then_wait_caopan_10d,服务器电源,60,50,89,57.3,34,32,6.69,-18.42,0.36,2.15
obs_then_wait_ma20_cxhzb_15d,先进封装/封测,80,75,139,54.68,49,47,4.89,-14.19,0.36,5.15
obs_then_wait_rs20_segment_10d,半导体材料,20,18,36,55.56,12,8,4.2,-11.76,0.36,-14.38
obs_then_wait_rs20_segment_15d,半导体材料,20,18,36,55.56,12,8,4.2,-11.76,0.36,-14.38
obs_then_wait_rs20_segment_5d,半导体材料,20,16,26,61.54,11,8,4.2,-11.76,0.36,-13.61
obs_then_wait_muma_10d,光模块,100,95,215,53.02,57,27,10.95,-22.47,0.35,-42.53
obs_then_wait_muma_15d,光模块,100,95,215,53.02,57,27,10.95,-22.47,0.35,-42.53
obs_then_wait_rs20_basket_5d,连接器,40,32,54,70.37,22,25,6.38,-9.23,0.35,6.57
obs_then_wait_caopan_15d,算力芯片/GPU/CPU设计,40,40,91,54.95,23,30,5.81,-17.27,0.35,7.95
obs_then_wait_ma20_5d,算力芯片/GPU/CPU设计,40,37,73,63.01,26,35,5.02,-14.77,0.35,15.61
obs_then_wait_rs20_basket_5d,AIPC/端侧AI,40,40,81,38.27,22,32,4.86,-21.12,0.35,17.46
obs_then_wait_ma20_cxhzb_10d,先进封装/封测,80,54,82,68.29,45,51,4.33,-11.12,0.35,8.98
obs_then_wait_caopan_15d,液冷/散热,77,77,156,60.26,48,27,7.32,-21.67,0.34,-14.39
obs_then_wait_rs20_basket_10d,交换机/网络设备,66,62,120,57.5,39,30,4.37,-17.78,0.34,-4.97
obs_then_wait_cxhzb_10d,半导体材料,20,10,13,100.0,10,10,3.33,-2.93,0.34,0.11
obs_then_wait_ma20_cxhzb_10d,半导体材料,20,10,13,100.0,10,10,3.33,-2.93,0.34,0.11
obs_then_wait_ma20_cxhzb_15d,服务器电源,60,51,91,51.65,36,25,6.28,-16.06,0.33,-12.31
obs_then_wait_muma_5d,交换机/网络设备,66,66,158,59.49,38,30,5.84,-19.04,0.33,-4.38
obs_then_wait_rs20_basket_15d,交换机/网络设备,66,64,133,54.13,40,30,5.19,-20.02,0.33,-8.57
obs_then_wait_muma_15d,算力/IDC/算力租赁,80,80,205,50.73,44,36,5.73,-22.85,0.32,-3.44
obs_then_wait_ma20_15d,算力芯片/GPU/CPU设计,40,40,102,57.84,23,36,5.46,-18.23,0.32,20.1
obs_then_wait_rs20_segment_10d,算力/IDC/算力租赁,80,79,169,51.48,46,28,4.98,-19.92,0.31,-7.44
obs_then_wait_ma20_5d,服务器电源,60,52,113,64.6,39,27,4.49,-20.24,0.31,-6.79
obs_then_wait_caopan_15d,AI服务器,80,76,149,54.36,45,34,4.38,-15.5,0.31,-11.8
obs_then_wait_caopan_15d,覆铜板CCL,60,55,103,62.14,42,26,2.94,-13.3,0.31,-10.62
obs_then_wait_rs20_basket_10d,光模块,100,93,160,58.75,65,27,9.02,-19.04,0.3,-59.95
obs_then_wait_muma_10d,高速铜缆/铜连接,80,79,182,54.4,53,37,6.22,-21.46,0.3,-3.7
obs_then_wait_muma_15d,高速铜缆/铜连接,80,79,182,54.4,53,37,6.22,-21.46,0.3,-3.7
obs_then_wait_ma20_15d,高速铜缆/铜连接,80,79,174,56.9,47,35,5.55,-20.8,0.3,-5.21
obs_then_wait_muma_10d,算力/IDC/算力租赁,80,80,202,50.0,42,36,5.52,-22.85,0.3,-3.44
obs_then_wait_ma20_rs20_segment_15d,AIPC/端侧AI,40,36,76,55.26,22,32,4.29,-16.52,0.3,14.86
obs_then_wait_muma_5d,高速铜缆/铜连接,80,78,169,55.03,51,37,5.63,-20.68,0.29,-3.54
obs_then_wait_ma20_5d,HBM,40,39,79,60.76,25,15,4.35,-21.18,0.29,-9.24
obs_then_wait_muma_5d,覆铜板CCL,60,55,119,64.71,34,29,4.08,-15.73,0.29,-1.58
obs_then_wait_rs20_segment_5d,算力/IDC/算力租赁,80,79,148,49.32,45,28,3.61,-17.86,0.29,-8.88
obs_direct,算力/IDC/算力租赁,80,80,203,47.29,45,36,5.37,-23.25,0.28,-3.96
obs_direct_wait0,算力/IDC/算力租赁,80,80,203,47.29,45,36,5.37,-23.25,0.28,-3.96
obs_direct,交换机/网络设备,66,66,169,57.4,40,32,4.99,-20.95,0.28,-1.75
obs_direct_wait0,交换机/网络设备,66,66,169,57.4,40,32,4.99,-20.95,0.28,-1.75
obs_then_wait_ma20_5d,AI服务器,80,71,145,55.86,48,31,4.94,-15.85,0.28,-8.99
obs_then_wait_caopan_15d,交换机/网络设备,66,65,133,62.41,42,31,3.85,-17.7,0.28,-1.81
