strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,full_median_calmar,first_median_calmar,second_median_calmar,worst_half_calmar,full_median_return,first_median_return,second_median_return,full_trades,full_win,full_positive,full_beat_bh,full_median_vs_bh
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,5,0,2.31,1.63,0.49,0.49,57.98,37.95,9.28,235,71.92,55,20,-128.84
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,3,0,2.27,1.3,0.49,0.49,57.98,35.44,9.28,239,69.04,55,18,-143.16
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,3,0,2.18,1.7,0.49,0.49,56.0,35.44,9.83,235,71.06,57,17,-148.46
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,2,0,1.97,1.2,0.49,0.49,46.97,27.22,12.23,282,67.38,55,15,-127.89
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,2,0,1.97,1.2,0.49,0.49,46.97,27.22,12.23,282,67.38,55,15,-127.89
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,2,0,1.17,0.91,0.49,0.49,25.83,18.14,7.35,437,46.45,48,14,-200.63
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,2,0,1.17,0.91,0.49,0.49,25.12,18.14,7.35,436,46.56,47,14,-201.87
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,5,0,2.79,1.5,0.48,0.48,61.42,30.74,9.62,364,56.87,55,16,-140.1
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,5,0,2.79,1.5,0.48,0.48,61.42,30.74,9.62,364,56.87,55,16,-143.33
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,2,0,2.71,1.51,0.48,0.48,81.85,34.29,10.73,330,61.21,56,20,-80.62
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,2,0,2.67,1.42,0.48,0.48,67.31,30.05,10.73,407,50.12,57,18,-92.88
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,2,0,2.67,1.42,0.48,0.48,66.53,30.05,10.73,408,50.0,57,18,-92.88
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,1,0,2.19,1.63,0.48,0.48,41.65,26.33,7.46,260,65.77,51,16,-183.65
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,2,0,1.91,1.44,0.48,0.48,43.95,26.75,7.35,379,56.2,55,16,-182.07
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,5,0,2.64,1.41,0.47,0.47,57.59,27.25,9.62,392,53.57,56,17,-136.53
