strategy,window,regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,603986,兆易创新,存储芯片,1,100.0,82.73,-11.25,7.35,83.21,34.0,426.06,-27.53,-343.33
control_tianma_fixed20,2025-06-10_2026-06-18,bull_80pct_plus,603986,兆易创新,存储芯片,1,100.0,35.63,-5.2,6.85,35.98,20.0,426.06,-27.53,-390.43
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,603986,兆易创新,存储芯片,2,100.0,143.22,-12.56,11.4,58.33,27.5,478.04,-27.53,-334.82
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,603986,兆易创新,存储芯片,1,100.0,82.73,-11.25,7.35,83.21,34.0,478.04,-27.53,-395.31
control_tianma_fixed20,2025-06-24_2026-07-03,bull_80pct_plus,603986,兆易创新,存储芯片,1,100.0,35.63,-5.2,6.85,35.98,20.0,478.04,-27.53,-442.41
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,300223,北京君正,存储芯片,4,50.0,62.17,-27.21,2.29,16.96,29.2,20.79,-34.8,41.38
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,300223,北京君正,存储芯片,3,66.67,102.1,-18.67,5.47,29.12,32.3,20.79,-34.8,81.31
control_tianma_fixed20,2024-06-12_2025-06-23,up_20_to_80pct,300223,北京君正,存储芯片,3,100.0,62.87,-8.18,7.69,18.38,20.0,20.79,-34.8,42.08
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,flat_0_to_20pct,300223,北京君正,存储芯片,2,50.0,27.13,-12.06,2.25,13.99,30.5,14.64,-34.8,12.49
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,flat_0_to_20pct,300223,北京君正,存储芯片,2,50.0,27.13,-12.06,2.25,13.99,30.5,14.64,-34.8,12.49
control_tianma_fixed20,2024-09-04_2025-09-15,flat_0_to_20pct,300223,北京君正,存储芯片,2,100.0,26.4,-8.18,3.23,12.98,20.0,14.64,-34.8,11.76
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,up_20_to_80pct,300223,北京君正,存储芯片,1,0.0,-0.89,-8.62,-0.1,-0.63,29.0,36.93,-34.8,-37.82
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,up_20_to_80pct,300223,北京君正,存储芯片,1,0.0,-0.89,-8.62,-0.1,-0.63,29.0,36.93,-34.8,-37.82
