date,basket_index,ma60,ret60,bull,down,up
2025-02-13,1.5391262615728498,1.3915243698795539,0.07425973311598977,False,False,True
2025-02-14,1.5481684855078064,1.3932449868649033,0.07144769251866889,False,False,True
2025-02-17,1.617424610994546,1.3972224292702056,0.17308553862726495,False,False,True
2025-02-18,1.5713141623537505,1.401240829142055,0.18125255522834505,False,False,True
2025-02-19,1.6120059474991235,1.4069027679021004,0.2670117870617752,True,False,False
2025-02-20,1.6157097626561854,1.4119777695274423,0.23222838087377662,True,False,False
2025-02-21,1.7165678329147054,1.41833257960908,0.28554971641750404,True,False,False
2025-02-24,1.7254345974665002,1.4247629568740647,0.2880107426389651,True,False,False
2025-02-25,1.700708488971362,1.4316106547393774,0.31853544947663814,True,False,False
2025-02-26,1.716165338679073,1.4390864897033906,0.3538535064820991,True,False,False
2025-02-27,1.6678621995653184,1.4459481362326871,0.3277430222843043,True,False,False
2025-02-28,1.5676726810537442,1.4505543373627277,0.21402612603627458,True,False,False
2025-03-03,1.5296480219428108,1.4547195277481193,0.19528348517504335,False,False,True
2025-03-04,1.548031232749272,1.4587553182174073,0.18542800462476583,False,False,True
2025-03-05,1.587015822961279,1.4629076282151836,0.18621932982032185,False,False,True
2025-03-06,1.6253563103414774,1.4679853568677685,0.23068480976440608,True,False,False
2025-03-07,1.6079745409019006,1.4730881131397797,0.23518452984556104,True,False,False
2025-03-10,1.6146739054611914,1.477995923337898,0.22304759215888903,True,False,False
2025-03-11,1.6202730966813148,1.4827894887308075,0.2158195654062418,True,False,False
2025-03-12,1.6321445780670825,1.4880481857698902,0.239644819272413,True,False,False
2025-03-13,1.6005944657823445,1.492806721128171,0.2171058890247357,True,False,False
2025-03-14,1.6504468388234428,1.4979034864932887,0.22742571496958663,True,False,False
2025-03-17,1.659761864125883,1.5029873695933733,0.22516164741995093,True,False,False
2025-03-18,1.660570371576087,1.508328395483636,0.23913099374697788,True,False,False
2025-03-19,1.6111804886679468,1.5128020658133532,0.19990181866637902,False,False,True
2025-03-20,1.5901280191889438,1.5171623481515009,0.1969249217744098,False,False,True
2025-03-21,1.5510326344549474,1.5205582173605032,0.15123217123325583,False,False,True
2025-03-24,1.5481732248515019,1.52264055508911,0.08778623537269148,False,False,True
2025-03-25,1.4908596040764917,1.5232024749260147,0.02313785091824183,False,False,False
2025-03-26,1.489071303060584,1.523988364353631,0.03270183720849262,False,False,False
2025-03-27,1.4841084510433535,1.5243633202417592,0.015392160966928747,False,False,False
2025-03-28,1.4675496594550852,1.5245629792876303,0.008230137878490584,False,False,False
2025-03-31,1.4718423331606814,1.5234999987640796,-0.041532920282948305,False,True,False
2025-04-01,1.4632901653989394,1.5227949744693838,-0.028096236079740766,False,True,False
2025-04-02,1.4693528689954727,1.5223883316686044,-0.01633375369002088,False,True,False
2025-04-03,1.4317807159382054,1.5226084109234457,0.009308458381352303,False,False,False
2025-04-07,1.2407524986884813,1.5203347404286447,-0.09905818411672351,False,True,False
2025-04-08,1.2017184413733069,1.5184573487500186,-0.08570204074714582,False,True,False
2025-04-09,1.2375928521845223,1.5173583755245597,-0.05058443650233313,False,True,False
2025-04-10,1.2860903217373862,1.5158496121209033,-0.06575965696789488,False,True,False
2025-04-11,1.3174399671895838,1.514815889504136,-0.0449619470979451,False,True,False
2025-04-14,1.3353284489125952,1.513856685447652,-0.041318860766131005,False,True,False
2025-04-15,1.3307950973818088,1.513699513300964,-0.007036375088124602,False,True,False
2025-04-16,1.30595292201651,1.5133178395554014,-0.01723322200283728,False,True,False
2025-04-17,1.30416288059125,1.511615736240641,-0.0726210566348231,False,True,False
2025-04-18,1.3099700663882476,1.510261799756709,-0.05839262777838117,False,True,False
2025-04-21,1.3431495951568577,1.5090308541974793,-0.05212166809513541,False,True,False
2025-04-22,1.317224485188034,1.5072948466643252,-0.07328095948174274,False,True,False
2025-04-23,1.3423165670902744,1.5053785544364755,-0.07889796137301808,False,True,False
2025-04-24,1.306961408069781,1.5023967626549928,-0.1204059827134406,False,True,False
2025-04-25,1.3227627676923637,1.499246074377335,-0.12504351662827418,False,True,False
2025-04-28,1.3236791754288142,1.496630081222811,-0.10600802370806606,False,True,False
