strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
kdj_any_hold_10,002281,光迅科技,光模块,17,47.06,33.19,-27.18,1.22,2.64,10.0,568.86,-535.67
random_same_freq_hold_10,002281,光迅科技,光模块,4,50.0,0.57,-7.74,0.07,0.54,10.0,568.86,-568.29
v1_tianma_exit,603083,剑桥科技,光模块,4,50.0,-0.39,-13.63,-0.03,0.24,9.2,637.87,-638.26
tianma_hold_10,603083,剑桥科技,光模块,4,75.0,8.55,-15.17,0.56,2.66,10.0,637.87,-629.32
tianma_hold_20,603083,剑桥科技,光模块,4,75.0,46.52,-17.8,2.61,11.09,20.0,637.87,-591.35
macd_zero_hold_10,603083,剑桥科技,光模块,16,62.5,204.44,-24.09,8.49,8.83,10.0,637.87,-433.43
kdj_any_hold_10,603083,剑桥科技,光模块,15,66.67,130.67,-26.58,4.92,7.94,10.0,637.87,-507.2
random_same_freq_hold_10,603083,剑桥科技,光模块,5,40.0,-11.5,-27.09,-0.42,2.0,10.0,637.87,-649.37
v1_tianma_exit,300570,太辰光,CPO,5,80.0,56.59,-22.72,2.49,10.18,16.2,689.61,-633.02
tianma_hold_10,300570,太辰光,CPO,5,80.0,38.61,-14.64,2.64,7.44,10.0,689.61,-651.0
tianma_hold_20,300570,太辰光,CPO,4,75.0,81.83,-22.39,3.66,17.91,20.0,689.61,-607.78
macd_zero_hold_10,300570,太辰光,CPO,13,69.23,115.46,-31.18,3.7,7.24,10.0,689.61,-574.15
kdj_any_hold_10,300570,太辰光,CPO,17,64.71,100.42,-50.27,2.0,6.1,10.0,689.61,-589.19
random_same_freq_hold_10,300570,太辰光,CPO,6,66.67,130.14,-13.19,9.87,18.94,10.0,689.61,-559.47
v1_tianma_exit,300757,罗博特科,CPO,4,25.0,105.26,-33.53,3.14,35.11,18.2,432.93,-327.67
tianma_hold_10,300757,罗博特科,CPO,4,50.0,8.48,-33.71,0.25,3.56,10.0,432.93,-424.45
tianma_hold_20,300757,罗博特科,CPO,4,75.0,108.74,-32.75,3.32,27.55,20.0,432.93,-324.19
